provider_id	total_revenue_gap	total_discharges	gap_per_discharge	weighted_efficiency
50351	565663552.00	4706	120200.499788	0.105088
330160	564936194.00	7154	78967.877271	0.194240
230130	563203632.00	9567	58869.408592	0.192764
220163	556044729.00	8956	62086.280594	0.271067
450044	553816320.00	7206	76854.887594	0.210414
50145	552808116.00	4629	119422.794556	0.155855
330194	550228428.00	5373	102406.184255	0.201827
360068	548360289.00	6397	85721.477099	0.148443
50125	537983293.00	1773	303431.073322	0.062132
100264	536892191.00	3802	141213.096002	0.068633
30036	536573314.00	5685	94384.048197	0.116747
440049	535644870.00	9416	56886.668437	0.203446
450617	533993529.00	3340	159878.302096	0.073487
70025	528979861.00	7668	68985.375717	0.216427
50438	527278108.00	4318	122111.650764	0.128649
310014	524925933.00	4898	107171.484892	0.167700
50309	520590879.00	6798	76580.005737	0.171285
50026	519331342.00	5331	97417.246670	0.131599
100019	519031435.00	6278	82674.647181	0.138594
290045	515713676.00	4134	124749.316884	0.098562
180130	512192906.00	7146	71675.469633	0.122309
50224	511025789.00	7873	64908.648419	0.182376
100226	510500222.00	2878	177380.202224	0.066833
510022	509145398.00	6933	73437.963075	0.154605
330286	508252219.00	5744	88484.021414	0.149311
420073	508173385.00	7870	64570.951080	0.149864
100012	507669604.00	6856	74047.491832	0.147567
490063	507448394.00	10967	46270.483633	0.281570
50367	505486442.00	2439	207251.513735	0.088631
50327	505065801.00	3162	159729.854839	0.153460
360112	503090528.00	5585	90078.876992	0.118937
100246	501995581.00	3221	155850.847873	0.072758
360051	501473252.00	8271	60630.304921	0.165561
100223	496735813.00	3218	154361.657241	0.065799
30087	494039916.00	5052	97790.957245	0.115068
50060	488237610.00	5032	97026.552067	0.171886
450324	487720523.00	4948	98569.224535	0.101789
50084	481704962.00	2883	167084.620881	0.137367
500008	480457342.00	6086	78944.683207	0.223948
280013	478533607.00	5445	87884.959963	0.211888
330119	477057309.00	4079	116954.476342	0.172384
100236	475865951.00	2898	164204.952036	0.060301
360085	474181450.00	6725	70510.252788	0.206847
450193	473580812.00	2973	159293.915910	0.145728
100075	466108275.00	8256	56456.913154	0.171267
20001	465946355.00	3716	125389.223628	0.143595
450713	464838127.00	3544	131161.999718	0.088674
60022	461811203.00	5144	89776.672434	0.131757
490024	461225562.00	6745	68380.365011	0.177708
140242	458434359.00	5585	82083.143957	0.133856
290041	454608714.00	2363	192386.252222	0.053814
50108	454111520.00	4379	103702.105504	0.204239
450135	453347316.00	6965	65089.349031	0.176661
310012	452170157.00	6790	66593.543004	0.169729
330043	451905517.00	4377	103245.491661	0.153471
340141	447504774.00	9682	46220.282380	0.247399
100168	447414411.00	6890	64936.779536	0.144360
390223	447293789.00	2851	156890.139951	0.144231
100044	446577616.00	9479	47112.313113	0.166504
50038	446237467.00	3873	115217.523109	0.194304
450083	444190542.00	4626	96020.437095	0.116467
310029	442424892.00	2567	172350.951305	0.099159
520177	439978974.00	6166	71355.655855	0.208104
310052	439724100.00	5779	76089.998270	0.134550
30094	439505622.00	2132	206147.102251	0.088364
330169	438007793.00	4277	102410.052139	0.145159
100035	436972876.00	3046	143457.936967	0.085787
290057	436248707.00	2583	168892.259775	0.060226
330241	436199093.00	4405	99023.630647	0.140976
50242	435287045.00	2902	149995.535837	0.113289
240080	434301668.00	3188	136230.134253	0.186981
450672	433357370.00	2009	215707.999004	0.069758
500039	432804211.00	3940	109848.784518	0.143164
50396	432180270.00	4842	89256.561338	0.174609
50481	432116634.00	2114	204407.111637	0.066718
330055	430976745.00	4697	91755.747286	0.170984
370091	429838510.00	8875	48432.508169	0.206956
30024	428031520.00	3595	119063.009736	0.165861
50100	427235050.00	3919	109016.343455	0.118557
290001	426779862.00	7180	59440.092201	0.197221
260138	426523060.00	3665	116377.369714	0.143753
310044	425087418.00	1296	327999.550926	0.035676
290054	424978790.00	2226	190915.898473	0.053837
390195	423987270.00	4338	97737.959889	0.165210
150084	421409451.00	4809	87629.330630	0.177680
180067	420091314.00	4462	94148.658449	0.177198
100008	419641672.00	3962	105916.625946	0.122131
100157	416807904.00	7915	52660.505875	0.165382
280003	414123831.00	8288	49966.678451	0.211983
140208	413926370.00	6549	63204.515193	0.217652
390270	413580181.00	3958	104492.213492	0.103693
510001	413468777.00	6599	62656.277769	0.196296
240057	412778499.00	5694	72493.589568	0.205798
90001	412083487.00	2242	183801.733720	0.112134
490007	411858483.00	5042	81685.538080	0.209912
310064	410682758.00	5908	69512.992214	0.153915
310045	409311056.00	3495	117113.320744	0.122058
450021	408771457.00	5926	68979.321127	0.227754
50280	407419065.00	4165	97819.703481	0.152220
50243	405876770.00	1813	223870.253723	0.070498
420078	403621677.00	6335	63712.971902	0.205269
100023	400766034.00	2859	140176.996852	0.078465
120001	400571235.00	5174	77420.029957	0.194582
50174	400141798.00	3214	124499.626011	0.148437
330304	398923409.00	6067	65752.993077	0.173513
50077	398727827.00	3319	120134.928292	0.126975
50235	398397664.00	3969	100377.340388	0.139461
90004	397881456.00	3434	115865.304601	0.183195
